温馨提示,#genre#
飞哥,https://v.nrzj.vip/video.php
自用,https://v.nrzj.vip/video.php
不定时,https://v.nrzj.vip/video.php
更新,https://v.nrzj.vip/video.php


飞哥精选,#genre#
抖音小姐姐,https://v.nrzj.vip/video.php
抖音小姐姐,http://api.eeccx.com/api/xjj.php
抖音小姐姐,https://hyf000.eu.org/live/video.php
小姐姐热歌,https://hyf666.eu.org/yy/991
小姐姐热舞,https://hyf666.eu.org/yy/993


CCTV1,http://dns.yiandrive.com:15907/douyin/cctv1
CCTV13,http://dns.yiandrive.com:15907/douyin/cctv.com
CCTV6,http://dns.yiandrive.com:15907/douyin/cctv6media.
1905国内,http://xxwx.yoesun.com/1905dy.php?id=1905a
1905国外,http://xxwx.yoesun.com/1905dy.php?id=1905b
1905国内,http://dns.yiandrive.com:15907/1905/1905a
1905国外,http://dns.yiandrive.com:15907/1905/1905b
凤凰资讯,http://dns.yiandrive.com:15907/phenix/fhzx
凤凰中文,http://dns.yiandrive.com:15907/phenix/fhzw
凤凰香港,http://dns.yiandrive.com:15907/phenix/fhhk






//======================================================



飞哥央视,#genre#
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV17,http://z.b.bkpcp.top/m.php?id=cctv17
CCTV4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV4美洲,http://z.b.bkpcp.top/m.php?id=cctv4a
CGTN纪录,http://z.b.bkpcp.top/m.php?id=cgtnjl
CGTN西语,http://z.b.bkpcp.top/m.php?id=cgtne
CGTN阿语,http://z.b.bkpcp.top/m.php?id=cgtna
CGTN法语,http://z.b.bkpcp.top/m.php?id=cgtnf
CGTN俄语,http://z.b.bkpcp.top/m.php?id=cgtnr
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=chcjt
CHC动作电影,http://z.b.bkpcp.top/m.php?id=chcdz
CCTV发现之旅,http://z.b.bkpcp.top/m.php?id=fxzl
CCTV老故事,http://z.b.bkpcp.top/m.php?id=lgs
CCTV中学生,http://z.b.bkpcp.top/m.php?id=zxs

CCTV1,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv1/playlist.m3u8
CCTV2,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv2/playlist.m3u8
CCTV3,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv3/playlist.m3u8
CCTV4,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv4/playlist.m3u8
CCTV5,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv5/playlist.m3u8
CCTV6,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv6/playlist.m3u8
CCTV7,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv7/playlist.m3u8
CCTV8,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv8hd/playlist.m3u8
CCTV9,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv9hd/playlist.m3u8
CCTV10,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv10hd/playlist.m3u8
CCTV11,http://6v.nx.tc/smrt.php?playurl=http://50.7.234.10:8278/cctv11/playlist.m3u8
